DateKey,Date,Day,DayName,Weekday,Month,MonthName,Quarter,Year,WeekOfYear,IsHoliday,IsMonthEnd,IsMonthStart,IsQuarterStart,IsQuarterEnd,IsYearEnd,IsYearStart
20230421,2023-04-21,21,Friday,1,4,April,2,2023,16,0,0,0,0,0,0,0
20230422,2023-04-22,22,Saturday,0,4,April,2,2023,16,0,0,0,0,0,0,0
20230423,2023-04-23,23,Sunday,0,4,April,2,2023,17,1,0,0,0,0,0,0
20230424,2023-04-24,24,Monday,1,4,April,2,2023,17,0,0,0,0,0,0,0
20230425,2023-04-25,25,Tuesday,1,4,April,2,2023,17,0,0,0,0,0,0,0
20230426,2023-04-26,26,Wednesday,1,4,April,2,2023,17,0,0,0,0,0,0,0
20230427,2023-04-27,27,Thursday,1,4,April,2,2023,17,0,0,0,0,0,0,0
20230428,2023-04-28,28,Friday,1,4,April,2,2023,17,0,0,0,0,0,0,0
20230429,2023-04-29,29,Saturday,0,4,April,2,2023,17,0,0,0,0,0,0,0
20230430,2023-04-30,30,Sunday,0,4,April,2,2023,18,1,1,0,0,0,0,0
20230501,2023-05-01,1,Monday,1,5,May,2,2023,18,0,0,1,0,0,0,0
20230502,2023-05-02,2,Tuesday,1,5,May,2,2023,18,0,0,0,0,0,0,0
20230503,2023-05-03,3,Wednesday,1,5,May,2,2023,18,0,0,0,0,0,0,0
20230504,2023-05-04,4,Thursday,1,5,May,2,2023,18,0,0,0,0,0,0,0
20230505,2023-05-05,5,Friday,1,5,May,2,2023,18,0,0,0,0,0,0,0
20230506,2023-05-06,6,Saturday,0,5,May,2,2023,18,0,0,0,0,0,0,0
20230507,2023-05-07,7,Sunday,0,5,May,2,2023,19,1,0,0,0,0,0,0
20230508,2023-05-08,8,Monday,1,5,May,2,2023,19,0,0,0,0,0,0,0
20230509,2023-05-09,9,Tuesday,1,5,May,2,2023,19,0,0,0,0,0,0,0
20230510,2023-05-10,10,Wednesday,1,5,May,2,2023,19,0,0,0,0,0,0,0
20230511,2023-05-11,11,Thursday,1,5,May,2,2023,19,0,0,0,0,0,0,0
20230512,2023-05-12,12,Friday,1,5,May,2,2023,19,0,0,0,0,0,0,0
20230513,2023-05-13,13,Saturday,0,5,May,2,2023,19,0,0,0,0,0,0,0
20230514,2023-05-14,14,Sunday,0,5,May,2,2023,20,1,0,0,0,0,0,0
20230515,2023-05-15,15,Monday,1,5,May,2,2023,20,0,0,0,0,0,0,0
20230516,2023-05-16,16,Tuesday,1,5,May,2,2023,20,0,0,0,0,0,0,0
20230517,2023-05-17,17,Wednesday,1,5,May,2,2023,20,0,0,0,0,0,0,0
20230518,2023-05-18,18,Thursday,1,5,May,2,2023,20,0,0,0,0,0,0,0
20230519,2023-05-19,19,Friday,1,5,May,2,2023,20,0,0,0,0,0,0,0
20230520,2023-05-20,20,Saturday,0,5,May,2,2023,20,0,0,0,0,0,0,0
20230521,2023-05-21,21,Sunday,0,5,May,2,2023,21,1,0,0,0,0,0,0
20230522,2023-05-22,22,Monday,1,5,May,2,2023,21,0,0,0,0,0,0,0
20230523,2023-05-23,23,Tuesday,1,5,May,2,2023,21,0,0,0,0,0,0,0
20230524,2023-05-24,24,Wednesday,1,5,May,2,2023,21,0,0,0,0,0,0,0
20230525,2023-05-25,25,Thursday,1,5,May,2,2023,21,0,0,0,0,0,0,0
20230526,2023-05-26,26,Friday,1,5,May,2,2023,21,0,0,0,0,0,0,0
20230527,2023-05-27,27,Saturday,0,5,May,2,2023,21,0,0,0,0,0,0,0
20230528,2023-05-28,28,Sunday,0,5,May,2,2023,22,1,0,0,0,0,0,0
20230529,2023-05-29,29,Monday,1,5,May,2,2023,22,0,0,0,0,0,0,0
20230530,2023-05-30,30,Tuesday,1,5,May,2,2023,22,0,0,0,0,0,0,0
20230531,2023-05-31,31,Wednesday,1,5,May,2,2023,22,0,1,0,0,0,0,0
20230601,2023-06-01,1,Thursday,1,6,June,2,2023,22,0,0,1,0,0,0,0
20230602,2023-06-02,2,Friday,1,6,June,2,2023,22,0,0,0,0,0,0,0
20230603,2023-06-03,3,Saturday,0,6,June,2,2023,22,0,0,0,0,0,0,0
20230604,2023-06-04,4,Sunday,0,6,June,2,2023,23,1,0,0,0,0,0,0
20230605,2023-06-05,5,Monday,1,6,June,2,2023,23,0,0,0,0,0,0,0
20230606,2023-06-06,6,Tuesday,1,6,June,2,2023,23,0,0,0,0,0,0,0
20230607,2023-06-07,7,Wednesday,1,6,June,2,2023,23,0,0,0,0,0,0,0
20230608,2023-06-08,8,Thursday,1,6,June,2,2023,23,0,0,0,0,0,0,0
20230609,2023-06-09,9,Friday,1,6,June,2,2023,23,0,0,0,0,0,0,0
20230610,2023-06-10,10,Saturday,0,6,June,2,2023,23,0,0,0,0,0,0,0
20230611,2023-06-11,11,Sunday,0,6,June,2,2023,24,1,0,0,0,0,0,0
20230612,2023-06-12,12,Monday,1,6,June,2,2023,24,0,0,0,0,0,0,0
20230613,2023-06-13,13,Tuesday,1,6,June,2,2023,24,0,0,0,0,0,0,0
20230614,2023-06-14,14,Wednesday,1,6,June,2,2023,24,0,0,0,0,0,0,0
20230615,2023-06-15,15,Thursday,1,6,June,2,2023,24,0,0,0,0,0,0,0
20230616,2023-06-16,16,Friday,1,6,June,2,2023,24,0,0,0,0,0,0,0
20230617,2023-06-17,17,Saturday,0,6,June,2,2023,24,0,0,0,0,0,0,0
20230618,2023-06-18,18,Sunday,0,6,June,2,2023,25,1,0,0,0,0,0,0
20230619,2023-06-19,19,Monday,1,6,June,2,2023,25,0,0,0,0,0,0,0
20230620,2023-06-20,20,Tuesday,1,6,June,2,2023,25,0,0,0,0,0,0,0
20230621,2023-06-21,21,Wednesday,1,6,June,2,2023,25,0,0,0,0,0,0,0
20230622,2023-06-22,22,Thursday,1,6,June,2,2023,25,0,0,0,0,0,0,0
20230623,2023-06-23,23,Friday,1,6,June,2,2023,25,0,0,0,0,0,0,0
20230624,2023-06-24,24,Saturday,0,6,June,2,2023,25,0,0,0,0,0,0,0
20230625,2023-06-25,25,Sunday,0,6,June,2,2023,26,1,0,0,0,0,0,0
20230626,2023-06-26,26,Monday,1,6,June,2,2023,26,0,0,0,0,0,0,0
20230627,2023-06-27,27,Tuesday,1,6,June,2,2023,26,0,0,0,0,0,0,0
20230628,2023-06-28,28,Wednesday,1,6,June,2,2023,26,0,0,0,0,0,0,0
20230629,2023-06-29,29,Thursday,1,6,June,2,2023,26,0,0,0,0,0,0,0
20230630,2023-06-30,30,Friday,1,6,June,2,2023,26,0,1,0,0,1,0,0
20230701,2023-07-01,1,Saturday,0,7,July,3,2023,26,0,0,1,1,0,0,0
20230702,2023-07-02,2,Sunday,0,7,July,3,2023,27,1,0,0,0,0,0,0
20230703,2023-07-03,3,Monday,1,7,July,3,2023,27,0,0,0,0,0,0,0
20230704,2023-07-04,4,Tuesday,1,7,July,3,2023,27,0,0,0,0,0,0,0
20230705,2023-07-05,5,Wednesday,1,7,July,3,2023,27,0,0,0,0,0,0,0
20230706,2023-07-06,6,Thursday,1,7,July,3,2023,27,0,0,0,0,0,0,0
20230707,2023-07-07,7,Friday,1,7,July,3,2023,27,0,0,0,0,0,0,0
20230708,2023-07-08,8,Saturday,0,7,July,3,2023,27,0,0,0,0,0,0,0
20230709,2023-07-09,9,Sunday,0,7,July,3,2023,28,1,0,0,0,0,0,0
20230710,2023-07-10,10,Monday,1,7,July,3,2023,28,0,0,0,0,0,0,0
20230711,2023-07-11,11,Tuesday,1,7,July,3,2023,28,0,0,0,0,0,0,0
20230712,2023-07-12,12,Wednesday,1,7,July,3,2023,28,0,0,0,0,0,0,0
20230713,2023-07-13,13,Thursday,1,7,July,3,2023,28,0,0,0,0,0,0,0
20230714,2023-07-14,14,Friday,1,7,July,3,2023,28,0,0,0,0,0,0,0
20230715,2023-07-15,15,Saturday,0,7,July,3,2023,28,0,0,0,0,0,0,0
20230716,2023-07-16,16,Sunday,0,7,July,3,2023,29,1,0,0,0,0,0,0
20230717,2023-07-17,17,Monday,1,7,July,3,2023,29,0,0,0,0,0,0,0
20230718,2023-07-18,18,Tuesday,1,7,July,3,2023,29,0,0,0,0,0,0,0
20230719,2023-07-19,19,Wednesday,1,7,July,3,2023,29,0,0,0,0,0,0,0
20230720,2023-07-20,20,Thursday,1,7,July,3,2023,29,0,0,0,0,0,0,0
20230721,2023-07-21,21,Friday,1,7,July,3,2023,29,0,0,0,0,0,0,0
20230722,2023-07-22,22,Saturday,0,7,July,3,2023,29,0,0,0,0,0,0,0
20230723,2023-07-23,23,Sunday,0,7,July,3,2023,30,1,0,0,0,0,0,0
20230724,2023-07-24,24,Monday,1,7,July,3,2023,30,0,0,0,0,0,0,0
20230725,2023-07-25,25,Tuesday,1,7,July,3,2023,30,0,0,0,0,0,0,0
20230726,2023-07-26,26,Wednesday,1,7,July,3,2023,30,0,0,0,0,0,0,0
20230727,2023-07-27,27,Thursday,1,7,July,3,2023,30,0,0,0,0,0,0,0
20230728,2023-07-28,28,Friday,1,7,July,3,2023,30,0,0,0,0,0,0,0
20230729,2023-07-29,29,Saturday,0,7,July,3,2023,30,0,0,0,0,0,0,0
20230730,2023-07-30,30,Sunday,0,7,July,3,2023,31,1,0,0,0,0,0,0
20230731,2023-07-31,31,Monday,1,7,July,3,2023,31,0,1,0,0,0,0,0
20230801,2023-08-01,1,Tuesday,1,8,August,3,2023,31,0,0,1,0,0,0,0
20230802,2023-08-02,2,Wednesday,1,8,August,3,2023,31,0,0,0,0,0,0,0
20230803,2023-08-03,3,Thursday,1,8,August,3,2023,31,0,0,0,0,0,0,0
20230804,2023-08-04,4,Friday,1,8,August,3,2023,31,0,0,0,0,0,0,0
20230805,2023-08-05,5,Saturday,0,8,August,3,2023,31,0,0,0,0,0,0,0
20230806,2023-08-06,6,Sunday,0,8,August,3,2023,32,1,0,0,0,0,0,0
20230807,2023-08-07,7,Monday,1,8,August,3,2023,32,0,0,0,0,0,0,0
20230808,2023-08-08,8,Tuesday,1,8,August,3,2023,32,0,0,0,0,0,0,0
20230809,2023-08-09,9,Wednesday,1,8,August,3,2023,32,0,0,0,0,0,0,0
20230810,2023-08-10,10,Thursday,1,8,August,3,2023,32,0,0,0,0,0,0,0
20230811,2023-08-11,11,Friday,1,8,August,3,2023,32,0,0,0,0,0,0,0
20230812,2023-08-12,12,Saturday,0,8,August,3,2023,32,0,0,0,0,0,0,0
20230813,2023-08-13,13,Sunday,0,8,August,3,2023,33,1,0,0,0,0,0,0
20230814,2023-08-14,14,Monday,1,8,August,3,2023,33,0,0,0,0,0,0,0
20230815,2023-08-15,15,Tuesday,1,8,August,3,2023,33,0,0,0,0,0,0,0
20230816,2023-08-16,16,Wednesday,1,8,August,3,2023,33,0,0,0,0,0,0,0
20230817,2023-08-17,17,Thursday,1,8,August,3,2023,33,0,0,0,0,0,0,0
20230818,2023-08-18,18,Friday,1,8,August,3,2023,33,0,0,0,0,0,0,0
20230819,2023-08-19,19,Saturday,0,8,August,3,2023,33,0,0,0,0,0,0,0
20230820,2023-08-20,20,Sunday,0,8,August,3,2023,34,1,0,0,0,0,0,0
20230821,2023-08-21,21,Monday,1,8,August,3,2023,34,0,0,0,0,0,0,0
20230822,2023-08-22,22,Tuesday,1,8,August,3,2023,34,0,0,0,0,0,0,0
20230823,2023-08-23,23,Wednesday,1,8,August,3,2023,34,0,0,0,0,0,0,0
20230824,2023-08-24,24,Thursday,1,8,August,3,2023,34,0,0,0,0,0,0,0
20230825,2023-08-25,25,Friday,1,8,August,3,2023,34,0,0,0,0,0,0,0
20230826,2023-08-26,26,Saturday,0,8,August,3,2023,34,0,0,0,0,0,0,0
20230827,2023-08-27,27,Sunday,0,8,August,3,2023,35,1,0,0,0,0,0,0
20230828,2023-08-28,28,Monday,1,8,August,3,2023,35,0,0,0,0,0,0,0
20230829,2023-08-29,29,Tuesday,1,8,August,3,2023,35,0,0,0,0,0,0,0
20230830,2023-08-30,30,Wednesday,1,8,August,3,2023,35,0,0,0,0,0,0,0
20230831,2023-08-31,31,Thursday,1,8,August,3,2023,35,0,1,0,0,0,0,0
20230901,2023-09-01,1,Friday,1,9,September,3,2023,35,0,0,1,0,0,0,0
20230902,2023-09-02,2,Saturday,0,9,September,3,2023,35,0,0,0,0,0,0,0
20230903,2023-09-03,3,Sunday,0,9,September,3,2023,36,1,0,0,0,0,0,0
20230904,2023-09-04,4,Monday,1,9,September,3,2023,36,0,0,0,0,0,0,0
20230905,2023-09-05,5,Tuesday,1,9,September,3,2023,36,0,0,0,0,0,0,0
20230906,2023-09-06,6,Wednesday,1,9,September,3,2023,36,0,0,0,0,0,0,0
20230907,2023-09-07,7,Thursday,1,9,September,3,2023,36,0,0,0,0,0,0,0
20230908,2023-09-08,8,Friday,1,9,September,3,2023,36,0,0,0,0,0,0,0
20230909,2023-09-09,9,Saturday,0,9,September,3,2023,36,0,0,0,0,0,0,0
20230910,2023-09-10,10,Sunday,0,9,September,3,2023,37,1,0,0,0,0,0,0
20230911,2023-09-11,11,Monday,1,9,September,3,2023,37,0,0,0,0,0,0,0
20230912,2023-09-12,12,Tuesday,1,9,September,3,2023,37,0,0,0,0,0,0,0
20230913,2023-09-13,13,Wednesday,1,9,September,3,2023,37,0,0,0,0,0,0,0
20230914,2023-09-14,14,Thursday,1,9,September,3,2023,37,0,0,0,0,0,0,0
20230915,2023-09-15,15,Friday,1,9,September,3,2023,37,0,0,0,0,0,0,0
20230916,2023-09-16,16,Saturday,0,9,September,3,2023,37,0,0,0,0,0,0,0
20230917,2023-09-17,17,Sunday,0,9,September,3,2023,38,1,0,0,0,0,0,0
20230918,2023-09-18,18,Monday,1,9,September,3,2023,38,0,0,0,0,0,0,0
20230919,2023-09-19,19,Tuesday,1,9,September,3,2023,38,0,0,0,0,0,0,0
20230920,2023-09-20,20,Wednesday,1,9,September,3,2023,38,0,0,0,0,0,0,0
20230921,2023-09-21,21,Thursday,1,9,September,3,2023,38,0,0,0,0,0,0,0
20230922,2023-09-22,22,Friday,1,9,September,3,2023,38,0,0,0,0,0,0,0
20230923,2023-09-23,23,Saturday,0,9,September,3,2023,38,0,0,0,0,0,0,0
20230924,2023-09-24,24,Sunday,0,9,September,3,2023,39,1,0,0,0,0,0,0
20230925,2023-09-25,25,Monday,1,9,September,3,2023,39,0,0,0,0,0,0,0
20230926,2023-09-26,26,Tuesday,1,9,September,3,2023,39,0,0,0,0,0,0,0
20230927,2023-09-27,27,Wednesday,1,9,September,3,2023,39,0,0,0,0,0,0,0
20230928,2023-09-28,28,Thursday,1,9,September,3,2023,39,0,0,0,0,0,0,0
20230929,2023-09-29,29,Friday,1,9,September,3,2023,39,0,0,0,0,0,0,0
20230930,2023-09-30,30,Saturday,0,9,September,3,2023,39,0,1,0,0,1,0,0
20231001,2023-10-01,1,Sunday,0,10,October,4,2023,40,1,0,1,1,0,0,0
20231002,2023-10-02,2,Monday,1,10,October,4,2023,40,0,0,0,0,0,0,0
20231003,2023-10-03,3,Tuesday,1,10,October,4,2023,40,0,0,0,0,0,0,0
20231004,2023-10-04,4,Wednesday,1,10,October,4,2023,40,0,0,0,0,0,0,0
20231005,2023-10-05,5,Thursday,1,10,October,4,2023,40,0,0,0,0,0,0,0
20231006,2023-10-06,6,Friday,1,10,October,4,2023,40,0,0,0,0,0,0,0
20231007,2023-10-07,7,Saturday,0,10,October,4,2023,40,0,0,0,0,0,0,0
20231008,2023-10-08,8,Sunday,0,10,October,4,2023,41,1,0,0,0,0,0,0
20231009,2023-10-09,9,Monday,1,10,October,4,2023,41,0,0,0,0,0,0,0
20231010,2023-10-10,10,Tuesday,1,10,October,4,2023,41,0,0,0,0,0,0,0
20231011,2023-10-11,11,Wednesday,1,10,October,4,2023,41,0,0,0,0,0,0,0
20231012,2023-10-12,12,Thursday,1,10,October,4,2023,41,0,0,0,0,0,0,0
20231013,2023-10-13,13,Friday,1,10,October,4,2023,41,0,0,0,0,0,0,0
20231014,2023-10-14,14,Saturday,0,10,October,4,2023,41,0,0,0,0,0,0,0
20231015,2023-10-15,15,Sunday,0,10,October,4,2023,42,1,0,0,0,0,0,0
20231016,2023-10-16,16,Monday,1,10,October,4,2023,42,0,0,0,0,0,0,0
20231017,2023-10-17,17,Tuesday,1,10,October,4,2023,42,0,0,0,0,0,0,0
20231018,2023-10-18,18,Wednesday,1,10,October,4,2023,42,0,0,0,0,0,0,0
20231019,2023-10-19,19,Thursday,1,10,October,4,2023,42,0,0,0,0,0,0,0
20231020,2023-10-20,20,Friday,1,10,October,4,2023,42,0,0,0,0,0,0,0
20231021,2023-10-21,21,Saturday,0,10,October,4,2023,42,0,0,0,0,0,0,0
20231022,2023-10-22,22,Sunday,0,10,October,4,2023,43,1,0,0,0,0,0,0
20231023,2023-10-23,23,Monday,1,10,October,4,2023,43,0,0,0,0,0,0,0
20231024,2023-10-24,24,Tuesday,1,10,October,4,2023,43,0,0,0,0,0,0,0
20231025,2023-10-25,25,Wednesday,1,10,October,4,2023,43,0,0,0,0,0,0,0
20231026,2023-10-26,26,Thursday,1,10,October,4,2023,43,0,0,0,0,0,0,0
20231027,2023-10-27,27,Friday,1,10,October,4,2023,43,0,0,0,0,0,0,0
20231028,2023-10-28,28,Saturday,0,10,October,4,2023,43,0,0,0,0,0,0,0
20231029,2023-10-29,29,Sunday,0,10,October,4,2023,44,1,0,0,0,0,0,0
